sentenceA,sentenceB,if_sentence_a_is_true_then,to_what_extent_are_the_two_sentences_expressing_a_related_meaning,to_what_extent__are_the_two_sentences_expressing_a_related_meaning:variance
Two women are naked and are standing on the sand,Two women are wearing bikinis and are walking on the sand,Sentence B is false,4.2,0.4
The man is gracefully singing and playing the guitar,The man is singing and playing the guitar,Sentence B is true,4.8,0.4
"Two large dogs, a light colored one and a dark one, are sleeping on a snowy terrain",Two dogs are leaping through snowy grass and rocks,Sentence B cannot be said to be true or false,3.4,1.356
A group of racing dogs are nosing a muzzle,A group of racing dogs is wearing striped uniforms and is running down a track,Sentence B cannot be said to be true or false,3.4,1.02
A black dog is sitting in the grass and keeping its mouth closed,A black dog is running in the grass and its tongue is hanging out,Sentence B is false,3.8,0.98
A girl is on a jumping car,One girl is jumping on the car,Sentence B is true,4.2,0.98
A man is scared,A man is crying,Sentence B cannot be said to be true or false,3.8,0.4
There is no milk being drunk by a cat,A kitten is drinking fresh milk,Sentence B is false,4.2,0.4
A young girl is jumping into a still lake,A young boy is jumping into a still lake,Sentence B cannot be said to be true or false,4,1.095
Two men are walking through a river,Two men are walking through the water,Sentence B is true,4.6,0.49
A woman is collecting tap water in a mug,A boy is filling a pitcher with water,Sentence B cannot be said to be true or false,2.2,0.98
A boy is jumping off a platform and two other boys are standing and staring at him,A boy is jumping off a platform and two other boys are standing and watching,Sentence B is true,4.8,0.4
A person is severing the toe of an empty leather boot with a sword,A man is cutting a boot with a sword,Sentence B is true,4.4,0.49
An Asian woman in a crowd is not carrying a black bag,An Asian woman in a crowd is carrying a black bag,Sentence B is false,4.4,0.8
An animal is biting a person's finger,A lemur is biting a person's finger,Sentence B cannot be said to be true or false,4,1.095
The women are not dancing outside,A group of people are dancing,Sentence B cannot be said to be true or false,4.2,0.748
The person is peeling an onion,The person is slicing onions,Sentence B is false,4.4,0.8
The air is tricking a performing cyclist,The cyclist is performing a trick in the air,Sentence B cannot be said to be true or false,2.8,0.4
Rollerbladers are rolling in formation down a hill,A group of rollerbladers is lining up on the street,Sentence B cannot be said to be true or false,3.6,0.8
A black person is running along a white stand and a dog barks behind him,The black and white dog is running and a person stands behind it,Sentence B cannot be said to be true or false,3.2,1.166
People are walking through a street which is crowded,A man and a woman are walking down a city street,Sentence B cannot be said to be true or false,3.6,0.49
There is no white dog with beige spots running through a field,A tan dog is running through the brush,Sentence B cannot be said to be true or false,3,1.095
A dog on a leash is walking in the water,A black dog on a leash is walking in the water,Sentence B cannot be said to be true or false,4.6,0.49
A man and a woman are not shaking hands,An old woman is shaking hands with a man,Sentence B is false,4.4,0.49
The man is playing the drums,A man is pouring cleaner into the sink,Sentence B cannot be said to be true or false,1,0
Two white dogs are not running together,Two white puppies are playing near a pool,Sentence B cannot be said to be true or false,3.2,1.47
A blonde man is hanging by gymnastic ropes,A blonde girl is hanging by gymnastic ropes,Sentence B cannot be said to be true or false,3.8,0.98
A man in gold and purple is holding a rainbow afghan,A girl in gold and purple is holding a rainbow afghan,Sentence B cannot be said to be true or false,3.8,1.47
The bunch of men are not playing rugby on a muddy field,The bunch of men are playing rugby on a muddy field,Sentence B is false,3.8,1.6
Two little boys are not wearing tuxedos,Two small boys dressed in tuxedos are sitting on a red carpeted floor,Sentence B is false,3.4,1.2
A father is launching the daughter in a swimming pool,There is no biker jumping in the air,Sentence B cannot be said to be true or false,1.2,0.4
There is no man playing a keyboard,A person is playing the keyboard,Sentence B is false,4.4,0.8
A podium is where a man is speaking,A man is speaking on a podium,Sentence B is true,5,0
Five people are running with three dogs in the green field beside the road,Five people are standing in the grass with three dogs,Sentence B is false,4,0
A girl is brushing her hair,A girl is brushing her hair,Sentence B is true,5,0
Few people are eating at red tables in a restaurant without lights,A large group of Asian people is eating at a restaurant,Sentence B cannot be said to be true or false,3.4,0.49
The chef is carefully drying the oil from the pan,A man is pouring liquid into a pot,Sentence B cannot be said to be true or false,2.4,1.02
The football is between the feet of a boy who is lying on the grass,The little kid is playing football and falling into the grass,Sentence B cannot be said to be true or false,4,0
A girl has black and orange patches on the cheeks,A girl is standing in a group and is wearing a black shirt and pink beads,Sentence B cannot be said to be true or false,2,0.894
A walker is in a hat store for men,The man in a cowboy hat is walking through a market and is putting a hand in his pocket,Sentence B cannot be said to be true or false,2.4,1.02
A yellow flower is being clung to by a bee,One woman is peeling a potato,Sentence B cannot be said to be true or false,1,0
A pitcher is being filled with water by a boy,A boy is filling a pitcher with water,Sentence B is true,5,0
A couple is looking at a street guide,A couple is looking at a map,Sentence B is true,4.6,0.49
A dog is looking at a piece of furniture in a shop,A dog is looking around,Sentence B cannot be said to be true or false,4.4,0.49
"The people are walking on the road beside a waterfall, which is beautiful",A waterfall is flowing into a shallow pool,Sentence B cannot be said to be true or false,3.2,0.748
A child with dark hair is going down a slide and throwing up his arms,A young girl with a heart tank top is raising her hands as she is sliding,Sentence B cannot be said to be true or false,4.4,0.8
An animal is being ridden by a woman,A woman is riding a horse,Sentence B cannot be said to be true or false,4.2,0.748
A girl in a black hat is standing topless at the beach,A girl in a black hat is wearing a bikini at the beach,Sentence B is false,4.4,0.8
A young boy in the blue shirt is jumping into the water,The young boy in the blue shirt is jumping into the water,Sentence B is true,4.8,0.4
A person is cooking some food,A person is peeling a potato,Sentence B cannot be said to be true or false,3.2,0.748
The animal with big eyes is voraciously eating,A lemur is eating,Sentence B cannot be said to be true or false,4.2,0.4
Butter is being chopped into a container by a man,A man is chopping butter into a container,Sentence B is true,5,0
There is no child holding a camera in front of his face,A child is holding a camera in front of his face,Sentence B is false,4.4,0.8
There is no famous singer dancing on the ceiling,A man is dancing on the ceiling,Sentence B cannot be said to be true or false,3.4,1.356
One girl is jumping on the car,The girl is recklessly jumping onto a car,Sentence B cannot be said to be true or false,4.4,0.49
A biker is naked,A biker is wearing gear which is black,Sentence B is false,3.83,1.067
A karate practitioner is kicking at another man who is wearing protective gloves for boxing,The man is kick boxing with a trainer,Sentence B cannot be said to be true or false,4,0.632
The woman is wearing a colorful shirt and a lot of jewelry,A woman is wearing a colorful shirt and a lot of jewelry,Sentence B is true,5,0
"There is no young lady with light brown hair wearing a red necklace, a sweatshirt and earrings and smiling","A young lady with light brown hair is wearing a red necklace, a sweatshirt and earrings and is smiling",Sentence B is false,4.4,0.8
Two men are standing near the water and are holding tools used for fishing,Two men are holding fishing poles,Sentence B cannot be said to be true or false,4.2,0.4
A man isn't tossing a kid into the swimming pool that is near the ocean,A father is launching the daughter in a swimming pool,Sentence B cannot be said to be true or false,3.2,1.166
A man with Indian clothing and henna on his hand is going through paperwork,A woman is wearing a colorful shirt and a lot of jewelry,Sentence B cannot be said to be true or false,1.4,0.49
The man is putting away the camera and walks away from the beach,A man is taking pictures of a lake,Sentence B cannot be said to be true or false,2,1.095
Two people are driving a jeep and a girl is sitting on the top of it,Two people are driving a jeep and a lady is sitting on the top of it,Sentence B is true,4.6,0.8
There is no woman preparing an egg in a skillet,A woman is preparing an egg in a skillet,Sentence B is false,4.6,0.49
Music is being performed by four people outdoors,Four people are performing music outdoors,Sentence B is true,4.8,0.4
A girl with a bikini is playing in the sand,A young girl in a bikini is jumping on the beach,Sentence B cannot be said to be true or false,3.6,1.356
No girl with a bikini is playing in the dunes,A girl with a bikini is playing in the dunes,Sentence B is false,4.6,0.8
There is no woman mixing eggs,A woman is mixing eggs,Sentence B is false,3.8,1.47
The man is not playing the guitar,A man is playing a flute,Sentence B cannot be said to be true or false,3.4,1.356
The brown dog is running in the snow,A dog is running through the snow,Sentence B is true,4.8,0.4
A person is sitting in a field and is wearing a hat,A person is wearing a hat and is sitting on the grass,Sentence B cannot be said to be true or false,4.6,0.49
There is no woman chopping up an octopus,A woman is chopping up an octopus,Sentence B is false,4,1.549
A white bird is landing swiftly in the water,A boy is happily playing the piano,Sentence B cannot be said to be true or false,1,0
Rugby players are tackling each other,A soccer player is being tackled by his opponent,Sentence B cannot be said to be true or false,2,1.265
A girl is wearing a t-shirt and has her mouth open.,"A girl from Asia, in front of a brick window, looks surprised",Sentence B cannot be said to be true or false,3.4,1.2
A man is walking along a track through a wilderness,A man is walking along a path through a wilderness,Sentence B is true,4.8,0.4
Some students in uniforms are listening attentively at the front of the class,A classroom full of students is looking in the same direction inside a bamboo structure,Sentence B cannot be said to be true or false,3,0
There is no parrot speaking,The parrot is talking into the microphone,Sentence B is false,4,1.549
The white bird is landing swiftly in the water,A large white crane is flying near the water,Sentence B cannot be said to be true or false,3.4,1.356
A person with a red hooded jacket and a black backpack is moving near a rocky wall,A person with a red hooded jacket and a black backpack is walking near a rocky wall,Sentence B is true,5,0
A tomato is being sliced by a woman,A woman is slicing a tomato,Sentence B is true,5,0
An animal is biting a person's finger,An animal is biting someone's finger,Sentence B is true,5,0
There is no man being hit,A boy is whacking a man with a sword,Sentence B is false,2.8,1.6
The dog is licking the baby,A dog is licking a baby,Sentence B is true,5,0
Dirt bikers are riding on a trail,Two people are riding motorbikes,Sentence B cannot be said to be true or false,4,0.632
A man in a red jacket and khaki pants is walking through an European state,A man in a red jacket and khaki pants is walking through an American state,Sentence B is false,4.4,1.2
A guitar is being played by a boy,A boy is playing guitar,Sentence B is true,5,0
A woman is dipping a prawn in batter,A man is driving a car,Sentence B cannot be said to be true or false,1,0
There is no woman playing with two young boys at a park,A woman is standing near three children,Sentence B cannot be said to be true or false,2,0.632
A man is riding a dirt bike down a dirt hill,A person is riding a bike along a muddy trail,Sentence B cannot be said to be true or false,4.2,0.4
People are sitting around a bonfire at night,People are clustered around a bonfire at night,Sentence B is true,4.8,0.4
"A dog, which is small, is playing on the green grass",A dog is near the red ball in the air,Sentence B cannot be said to be true or false,2.8,1.47
A girl is jumping rope on a sidewalk near a parking garage,A girl is skipping rope on a sidewalk,Sentence B is true,4.6,0.49
One young lady is jumping on the car,One girl is jumping on the car,Sentence B is true,5,0
There is no biker jumping in the air,A man is jumping into an empty pool,Sentence B cannot be said to be true or false,1.2,0.4
A boy of young age is playing in the park with his mother,A boy in blue is running away from a woman in blue,Sentence B cannot be said to be true or false,3.4,1.2
Two men with a dog are boring a crowd of people,Boys are dancing in front of some people,Sentence B cannot be said to be true or false,2.2,1.47
Few men like pouring tomato oil,The man is pouring oil on a few tomatoes,Sentence B cannot be said to be true or false,4.2,0.4
A man is having fun with water,A man is doing a card trick,Sentence B cannot be said to be true or false,1,0
A homeless man is holding up a sign and is begging for money,There is no man cutting a box,Sentence B cannot be said to be true or false,1,0
The piano player is being a tough man,A boy is happily playing the piano,Sentence B cannot be said to be true or false,2.6,1.2
The man is riding a horse by a stream,A man is riding a horse,Sentence B is true,4.6,0.49
A pianist is playing the keyboard,A person is playing the keyboard,Sentence B is true,4.4,0.8
A big dog and a small dog with a white coat are playing together,Two dogs are playing together on the grass,Sentence B cannot be said to be true or false,4,0.894
A topless person with a back pack is in front of a pile of rocks and clouds are in the background,The man is standing on a rocky mountain and gray clouds are in the background,Sentence B cannot be said to be true or false,3.4,1.02
Two children are playing soccer in the park,There is no white dog wearing a Christmas reindeer headband and playing with a brown dog in the grass,Sentence B cannot be said to be true or false,1,0
People are walking inside a building that has many murals on it,People are walking outside a building that has many murals on it,Sentence B cannot be said to be true or false,3.8,0.98
The snowboarder is jumping off a snow covered hill,The person is not standing on white ice,Sentence B cannot be said to be true or false,1,0
The drums are being played by a man,A man is playing the guitar,Sentence B cannot be said to be true or false,2.8,0.98
A man is playing an instrument,A woman is playing the flute,Sentence B cannot be said to be true or false,2.4,1.02
Eggs are being strongly whisked in a bowl by a person,A woman is beating two eggs in a bowl and using a whisk made of wire,Sentence B cannot be said to be true or false,4.6,0.49
A woman is not cutting broccoli,A woman is cutting broccoli,Sentence B is false,3.8,1.6
Two sumo wrestlers are fighting,A man is riding a water toy in the water,Sentence B cannot be said to be true or false,1,0
A tan dog which is dirty is rolling in the dirt and looking right at the camera,A dog is rolling on the ground,Sentence B is true,4.4,1.2
A person is dancing,A woman is exercising,Sentence B cannot be said to be true or false,3.2,0.748
A man is not rock climbing and a city and a bay are in the background,"A man is rock climbing, pausing and calculating the route",Sentence B cannot be said to be true or false,3.2,1.166
A man is planting a tree,A man is picking up a tree,Sentence B is false,4.4,0.49
A girl in blue sweater is holding a multicolor toy and is sitting on the shoulders of a man with grey hair,A young oriental girl is standing above the crowd and is playing with a pinwheel,Sentence B cannot be said to be true or false,2,1.549
Two dogs are looking at something that is moving in the water,Two dogs are looking at something that is splashing in the water,Sentence B is true,4.6,0.49
There is no woman slicing an onion,A woman is slicing an onion,Sentence B is false,4.6,0.49
There is no woman putting on lipstick,A woman is putting on lipstick,Sentence B is false,5,0
A man is removing vegetables from a pot,Someone is pouring ingredients into a pot,Sentence B cannot be said to be true or false,2.8,0.98
"A woman, who is young and Asian, with gloves colored in pink, is standing in the snow",A female wearing pink gloves and a brown jacket is smiling in the snow,Sentence B cannot be said to be true or false,3.8,0.748
One small child is greedily drinking water from the cup,The kitten is eagerly drinking some milk from the bowl,Sentence B cannot be said to be true or false,1.8,0.748
A girl dressed in purple and blue is walking beside her bike at night,A woman in a purple top is walking a bicycle between two stone columns,Sentence B cannot be said to be true or false,3.2,1.166
A man is being pushed toward the buttons of a microwave,A man is pushing the buttons of a microwave,Sentence B cannot be said to be true or false,3.4,0.8
Two black puppies are playing near a pool,Two white dogs are running together,Sentence B cannot be said to be true or false,1.6,1.2
The black dog is not running through the grass,The black dog is walking through the tall grass,Sentence B cannot be said to be true or false,4.8,0.4
A boy and a girl are playing on the outdoor gym,Some children are playing on a playground,Sentence B is true,4.2,0.748
The boy is trotting on the horse,The girl is trotting on the horse,Sentence B cannot be said to be true or false,3.4,1.2
Three people are walking across a rope and steel bridge over a river,People are walking across a rope bridge over a rocky stream,Sentence B is true,3.8,0.4
Two dogs are playing inside,Two brown and white dogs are fighting on a grassy area in front of a tree,Sentence B cannot be said to be true or false,2.6,1.02
A person is shirtless and is putting down the beer,A person is wearing a red jacket and holding a beer,Sentence B is false,2.6,1.356
Some bamboo is being eaten by a panda bear,A panda bear is eating some bamboo,Sentence B is true,4.8,0.4
Two men are standing near the water and are holding fishing poles,Two men are holding fishing poles,Sentence B is true,4.6,0.49
The woman is using a sledgehammer to break a concrete block that is on another man,A man is breaking a slab of concrete with a sledge hammer,Sentence B cannot be said to be true or false,3,1.095
The man in blue is posing for a picture next to a vehicle,The man in blue is posing for a picture next to a car,Sentence B is true,4.6,0.49
"A woman, who is old, is near a dog that has a white coat","A woman, who is old, is near a white dog",Sentence B is true,5,0
A dog with a golden coat is walking out of the water,A dog with a golden coat is swimming through the water,Sentence B cannot be said to be true or false,4,0.632
A dog is jumping at dry leaves in a field of shiny blue soccer balls,A little black dog is wearing a red collar and is in the leaves with a blue ball,Sentence B cannot be said to be true or false,4,0.632
The man is lowering barbells,The man is lifting weights,Sentence B cannot be said to be true or false,4,0
A man is moving gracefully,A man is walking outside,Sentence B cannot be said to be true or false,3.6,0.8
A woman is placing two eggs into a pot of water,A woman is boiling eggs,Sentence B is true,4.6,0.49
A woman is slicing a pepper which is green,The woman with a knife is slicing a pepper,Sentence B is true,4.6,0.49
The woman is not poking holes in the potato,The woman is poking a potato,Sentence B is false,3.2,1.6
The woman is not stirring meat in a bowl,A lady is mixing a meat mixture in a bowl,Sentence B is false,4.2,0.4
A young girl is standing on one leg,A young girl is dancing,Sentence B cannot be said to be true or false,2.8,0.98
A young boy wearing a red swimsuit is jumping into a blue kiddies pool,A boy wearing red shorts is jumping into a paddling pool,Sentence B cannot be said to be true or false,4.2,0.748
A man is speaking about the stage,A man is speaking on a podium,Sentence B cannot be said to be true or false,4,0.632
A nearby throng of people are kissing two by two,A woman is being kissed by a man,Sentence B cannot be said to be true or false,3.8,0.748
"A dog next to a tree, which is probably a pine, is biting a bucket","A dog next to a tree, which is probably a pine, is biting a bucket",Sentence B is true,5,0
The malnourished looking dog is standing on its hind legs and is preparing to jump,A brown dog is jumping in the air,Sentence B cannot be said to be true or false,3,1.265
A person on a yellow clean bike is taking a jump,A cyclist on a yellow bike is airborne,Sentence B is true,4.4,0.49
The man isn't operating a stenograph,The man is operating a stenograph,Sentence B is false,3.6,1.497
The guitar is being played by a man,A man is playing the guitar,Sentence B is true,5,0
The man is putting away the guitar in the guitar case,The man is playing the guitar and has the guitar case open for donations,Sentence B is false,3.4,1.356
Two men are doing a funny skit with a boxer in front of a crowd of people,Boys are dancing in front of some people,Sentence B cannot be said to be true or false,2.4,1.02
There is no man squirting water into the mouth of a white dog with a squirt gun,A man is spraying a super soaker into the mouth of a dog,Sentence B is false,3.2,1.166
The dog is catching a ball,A dog is chasing a ball through dirt,Sentence B cannot be said to be true or false,4.2,0.4
The panda bear is resting on the logs,The panda bear is lying on the logs,Sentence B is true,4.8,0.4
Two people are sitting on a park bench on a hot day,Two women dressed in white and black are sitting on a bench,Sentence B cannot be said to be true or false,4,0.632
The boy is not cutting the grass by the curb with scissors,The boy is cutting the grass by the curb with scissors,Sentence B is false,4.8,0.4
A person is riding a bike along a muddy trail,A person is riding a dirt bike down a dirt hill,Sentence B cannot be said to be true or false,3.2,1.327
A talented man is playing the guitar,A man is playing a guitar,Sentence B is true,4.8,0.4
A woman is standing with a pair of dogs,A woman is showing a dog with very long hair at a dog show,Sentence B cannot be said to be true or false,3.6,0.8
A person in the gear used for biking is standing steadily in front of the mountains,A group of people is equipped with protective gear,Sentence B cannot be said to be true or false,2.4,1.2
There is no woman peeling a potato,A woman is peeling a potato,Sentence B is false,4.2,1.166
The person is riding the animal,A man is riding a horse,Sentence B cannot be said to be true or false,4.4,0.49
Two men are racing in a tire rolling competition,Two people in a race are flipping the tires of a tractor,Sentence B cannot be said to be true or false,4,0.632
A couple is standing on a patio and looking at the sky,A couple is sitting on a patio and looking at the ocean,Sentence B is false,3.8,1.47
A woman is peeling food,A man is passionately playing a guitar in front of an audience,Sentence B cannot be said to be true or false,1.2,0.4
A girl dressed in purple and blue is slowly walking beside her bike at night,A woman in a purple top is walking a bicycle between two stone columns,Sentence B cannot be said to be true or false,3.4,0.8
A woman is cutting an onion,A man is cutting onions,Sentence B cannot be said to be true or false,3.4,0.8
A man is doing exercise,A girl is exercising,Sentence B cannot be said to be true or false,3.2,1.166
A group of explorers are walking through the grass,A group of scouts are hiking through the grass,Sentence B cannot be said to be true or false,4,0
The person is playing with a skull,The man is playing with a skull,Sentence B cannot be said to be true or false,4.6,0.49
There is no dog eating a doll,A dog is playing with a toy,Sentence B cannot be said to be true or false,3,1.095
The man is doing exercises in a gym,The man is exercising,Sentence B is true,4.8,0.4
An animal is jumping at a shiny blue soccer ball in a field of dry leaves,A little black dog is wearing a red collar and is in the leaves with a blue ball,Sentence B cannot be said to be true or false,4.2,0.4
Two poodles are in the snow and one is jumping high,Two crocodiles are floating in a green colored swimming pool near some playing kids,Sentence B cannot be said to be true or false,1.2,0.4
The teens are talking to a boy and a girl with a webcam,One man is talking to a girl with an internet camera,Sentence B cannot be said to be true or false,3.2,1.166
There is no tiger cub making a sound,A tiger cub is making a sound,Sentence B is false,4.6,0.49
There is no man walking in the rain,A man is walking in the rain,Sentence B is false,4,1.549
A man is playing an electric guitar,A man is playing a guitar,Sentence B is true,5,0
The man isn't smearing butter on bread ,A man is spreading butter on a piece of bread which is big,Sentence B is false,3.8,1.166
Two children are not playing in the surf,Two children are playing in the surf,Sentence B is false,4.2,0.748
There is no man cutting a paper plate,A man is cutting a paper plate,Sentence B is false,4.8,0.4
A young occidental girl is standing above the crowd and is playing with a pinwheel,A young oriental girl is standing above the crowd and is playing with a pinwheel,Sentence B cannot be said to be true or false,4.8,0.4
A baby is splashing inside a blue paddling pool,A toddler is making a splash inside a blue paddling pool,Sentence B is true,4.6,0.49
No person is hiking,A distant person with a blue backpack is hiking in rocky area,Sentence B is false,4.4,0.8
A man is tanking on a stage in front of a crowd,A man is speaking on a stage,Sentence B cannot be said to be true or false,3,1.414
"A child, who is young, dressed for cold weather, is standing outside",A smiling boy in winter clothes is waving his mittened hands outside a building in the snow,Sentence B cannot be said to be true or false,3.8,0.748
A man is playing a keyboard in a park,A person is playing the keyboard,Sentence B is true,4.6,0.49
The man is walking along a track through the wilderness,A man is walking down a road,Sentence B cannot be said to be true or false,4.2,0.748
A light brown dog is sprinting in the water,A tan dog is splashing in the water on the bank of a pond,Sentence B cannot be said to be true or false,3.4,0.8
A young black child is waiting on the edge of a body of water near some buckets,A boy next to some buckets of rags is holding an object,Sentence B cannot be said to be true or false,2.6,1.02
There is no man putting some cheese on a pizza,The man is sprinkling cheese on the pizza,Sentence B is false,4.2,1.166
The white reindeer wearing dog ears is near a brown reindeer,The white dog wearing reindeer ears is near a brown dog,Sentence B cannot be said to be true or false,3.8,1.47
A man is playing a trumpet brightly,The man is playing a guitar,Sentence B is false,2.6,0.8
Someone is putting ingredients into a wok,A person is cutting garlic into pieces with a knife,Sentence B cannot be said to be true or false,2,0.894
"A person is standing in front of a rock with a rope, which is pink","A person is climbing a rock with a rope, which is pink",Sentence B cannot be said to be true or false,4,0.632
A person is not playing the keyboard,A man is playing a keyboard,Sentence B is false,3.4,1.356
There is no man fitting a silencer to a pistol,A man is fixing a silencer to a gun,Sentence B is false,3.4,1.625
A cow is eating hay,A cow is eating grass,Sentence B is false,4.6,0.49
Two frightened boys are talking on the phone,Two boys are talking on the phone,Sentence B is true,4.6,0.49
A woman is cutting an octopus,The woman is cutting cooked octopus,Sentence B cannot be said to be true or false,4,0.632
There are no children playing and waiting,Three Asian kids are dancing and a man is looking,Sentence B cannot be said to be true or false,1.6,0.8
A horse is riding over a man,The man is riding a horse,Sentence B cannot be said to be true or false,3.6,0.49
A cyclist on a yellow bike is airborne,A person on a yellow dirt bike is taking a jump,Sentence B is true,4.4,0.49
The group of people is sitting in a room which is dim,The group of people is sitting in a dim room,Sentence B is true,5,0
A kid is putting the guitar away,A kid is playing a guitar,Sentence B is false,4,0.894
Some men are resting,Racers are running down a track,Sentence B cannot be said to be true or false,1.2,0.4
The blonde girl with the pink top is happily smiling and wearing funny glasses with a large nose attached,The blonde girl with the pink top is smiling and wearing funny glasses with a large nose attached,Sentence B is true,5,0
A young boy covered in grass is jumping near a fence made of wood,A young boy covered in grass is jumping near a wooden fence,Sentence B is true,4.8,0.4
A boy is hitting a baseball,A family is watching a little boy who is hitting a baseball,Sentence B cannot be said to be true or false,4,0
"There is no black, red, white and pink dress being worn by a woman","A woman is taking off a cloak, which is very large, and revealing an extravagant dress",Sentence B cannot be said to be true or false,2.4,1.2
A man is playing an instrument,A man is riding a mechanical bull,Sentence B cannot be said to be true or false,1,0
A boy is shredding a calendar,A boy is looking at a calendar,Sentence B cannot be said to be true or false,3.4,1.356
A man is sitting and tables a comfortable discussion,A man wearing a dyed black shirt is sitting at the table and laughing,Sentence B cannot be said to be true or false,2.2,1.166
A person with a green shirt is jumping onto the grass,A young boy is jumping in the air with his knees bent and arms spread,Sentence B cannot be said to be true or false,2.8,1.166
"The woman wearing silver pants, pink bellbottoms and a pink scarf is riding a bike",A woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians,Sentence B cannot be said to be true or false,3,0.894
There is no little kid playing football and falling into the grass,The football is between the feet of a boy who is lying on the grass,Sentence B cannot be said to be true or false,3.6,0.8
The people are not walking on the road beside a beautiful waterfall,A waterfall is flowing into a shallow pool,Sentence B cannot be said to be true or false,2.8,1.166
Two men are carrying colorful baskets and blankets and walking near a building,Two people are carrying colorful baskets and blankets and walking near a building,Sentence B is true,4.8,0.4
Some women are cheerfully dancing,Some women are dancing,Sentence B is true,4.4,0.49
The woman is squeezing juice out of a lemon,A woman is squeezing a lemon,Sentence B is true,5,0
A man is not playing a guitar,A man is playing a guitar,Sentence B is false,4.6,0.8
The person is riding the animal,The person is riding the horse,Sentence B cannot be said to be true or false,4.6,0.49
There is no person peeling an onion,The person is slicing onions,Sentence B is false,3.4,1.356
A person is dancing,A man is dancing on the road,Sentence B cannot be said to be true or false,3.6,1.356
There are no women wearing bikinis on the sandy beach,Two women are wearing bikinis on the sandy beach,Sentence B is false,4,0.894
"A boy, who is wearing a blue coat, is being held by his father under an umbrella ",A boy under an umbrella is being held by his father who is wearing a blue coat,Sentence B cannot be said to be true or false,4.2,0.748
A baby is sitting,A baby is crawling happily,Sentence B is false,3,1.265
A woman is cooking a pork chop which is breaded,The woman is frying a breaded pork chop,Sentence B cannot be said to be true or false,4.4,0.49
A person is not doing a trick on a slide,A person is doing a trick on a snowboard,Sentence B cannot be said to be true or false,3,1.673
The young man is not rock climbing,A man in a purple hat is climbing a rocky wall with bare hands,Sentence B cannot be said to be true or false,3.8,0.98
There are no men sitting at the table with four beer bottles,A man in a white shirt and sunglasses and a man in a black shirt and sunglasses are sitting at a table with four beer bottles,Sentence B is false,3.6,1.356
A woman and three men are denying a photo,A woman and three men are posing for a photo,Sentence B cannot be said to be true or false,4.4,0.49
A white racing vehicle is driving through a puddle,A white rally car is throwing mud into the air and is approaching a bend in the track,Sentence B cannot be said to be true or false,3.8,0.4
There is no man on a bicycle riding on the beach,A person is riding a bicycle in the sand beside the ocean,Sentence B is true,4.6,0.8
A girl is speeding down a steep slide,A boy is wearing all black and is sliding down a blow up yellow slide,Sentence B cannot be said to be true or false,2.6,1.625
Five adults are sitting on a chair,Five adults are sitting on stone steps,Sentence B is false,4,0.632
Some children are not playing on a playground,The boy and girl are playing on the outdoor gym,Sentence B cannot be said to be true or false,3.6,0.49
A chubby faced boy is wearing dark glasses,A boy is wearing sunglasses,Sentence B is true,4.6,0.49
A boy in blue is running towards a woman in blue,A young boy is playing in the park with his mother,Sentence B cannot be said to be true or false,2.2,1.166
A paper plate is being cut by the man,A man is cutting a paper plate,Sentence B is true,5,0
Five kids are standing close together and one kid has a weapon,Five children are standing in front of a wooden hut,Sentence B cannot be said to be true or false,2.8,0.98
A horse is being ridden by a man,A man is riding a horse,Sentence B is true,5,0
One man is eating some food,The man is eating,Sentence B is true,4.5,0.5
Two panda bears are lying together,Two pandas are lying together,Sentence B is true,5,0
There is no woman combing her hair,A woman is boiling shrimps,Sentence B cannot be said to be true or false,1,0
One man is sitting steadily on the chair,"The girl, who is little, is combing her hair into a pony tail.",Sentence B cannot be said to be true or false,1,0
Someone is writing,Someone is typing,Sentence B cannot be said to be true or false,4.2,0.4
A lone bicyclist is putting down a bike,A bicyclist is holding a bike over his head in a group of people,Sentence B is false,3.4,1.02
The adults and children are being grouped near an outdoor seating arrangement,Adults and children standing and playing in front of steps near a wooded area,Sentence B cannot be said to be true or false,3.2,1.166
A woman dressed in elegant clothing is inside a crowd of people and is looking up,An Asian woman is holding a fur scarf,Sentence B cannot be said to be true or false,1.4,0.8
A man is wearing a red jacket and standing beside a yellow canoe on some boulders with water in the background,A man is wearing a red jacket and standing beside a yellow canoe on some rocks with water in the background,Sentence B is true,5,0
A dog is walking along the snowdrift,A dog is walking along a snowdrift,Sentence B is true,5,0
The man is drawing a gun,The man is aiming a gun,Sentence B is false,4.2,0.4
The boy is checking a calendar,A boy is looking at a calendar,Sentence B is true,4.8,0.4
A woman is slicing meat with a knife,A man is spreading dough,Sentence B cannot be said to be true or false,1,0
The woman with a black hat is wearing sunglasses,A woman is wearing an Egyptian headdress,Sentence B cannot be said to be true or false,2,0.894
A boy in blue are sliding down a green slide,A woman is riding a horse,Sentence B cannot be said to be true or false,1,0
There is no motorcyclist riding a motorbike along a roadway,A motorcyclist with a red helmet is riding a blue motorcycle down the road,Sentence B is false,3.8,1.47
A sea turtle is not hunting for fish,The turtle is following the fish,Sentence B cannot be said to be true or false,3.8,1.47
A skateboarder is jumping off a ramp,A man dressed in black is wearing inline skates and performing a trick on a rail,Sentence B cannot be said to be true or false,3.2,0.98
The kitten isn't eagerly drinking some milk from the bowl,One small child is drinking water from the cup,Sentence B cannot be said to be true or false,1.4,0.49
